location,bhk,bath,total_sqft,encoded_loc,price
ISRO Layout,4,4,1200.0,551,155.0
Thanisandra,2,2,1296.0,1143,80.0
Domlur,3,3,1540.0,399,90.0
Kengeri,4,4,2894.0,685,245.0
Sarjapura - Attibele Road,3,2,1330.0,1036,48.0
Devasthanagalu,2,2,1200.0,370,65.0
T Dasarahalli,3,3,1200.0,1126,90.0
Yeshwanthpur,3,3,2502.0,1262,138.0
Chandapura,2,1,650.0,302,17.0
Kothanur,3,2,2400.0,713,150.0
Green View Layout,2,2,1007.0,472,43.0
Shantiniketan Layout,2,2,1200.0,1060,50.0
Peenya,2,2,966.0,919,49.9
Nagarbhavi,3,2,1630.0,844,98.0
Rajaji Nagar,3,3,1640.0,971,229.0
Jalahalli West,2,2,782.0,588,55.68
Devanahalli,2,2,1260.0,362,66.78
Lakshmiamma Garden,3,3,1800.0,741,120.0
Byatarayanapura,3,2,1413.0,281,75.0
Whitefield,2,2,1116.0,1247,51.91
Electronic City,3,2,1530.0,414,45.9
Ramamurthy Nagar,4,4,3700.0,985,225.0
Sarjapur  Road,3,3,2497.0,1034,140.0
Kengeri,3,2,1540.0,685,64.0
Thanisandra,3,3,1436.0,1143,74.75
Malleshwaram,2,2,1100.0,783,75.0
Hennur Road,2,3,276.0,519,23.0
Thanisandra,3,3,1427.0,1143,120.0
Akshaya Nagar,3,3,2061.0,96,200.0
Hebbal,4,4,5611.5,510,477.0
Shampura,4,4,2650.0,1054,150.0
Devanahalli,3,2,1282.0,362,68.52
Kadugodi,2,2,1050.0,632,34.0
LB Shastri Nagar,3,3,1600.0,734,65.0
Vajarahalli,2,2,945.0,1182,54.0
Hormavu,2,2,1500.0,532,78.0
Vishwapriya Layout,7,7,950.0,1231,115.0
Peenya,3,3,1870.0,919,110.0
Sarjapur,3,3,1600.0,1033,75.0
Electronic City,2,1,880.0,414,16.5
Ramaswamy Palya - Kammanahalli Main Road,4,4,1200.0,990,210.0
Kudlu Gate,3,3,1535.0,719,83.0
Kanakpura Road,2,2,950.0,661,57.0
Devanahalli,2,2,1360.0,362,65.0
8th Phase JP Nagar,2,2,1073.5,72,54.005
Bommasandra Industrial Area,3,3,1280.0,269,50.4
Chandra Layout,3,2,1260.0,303,85.05
Hennur Road,8,8,5000.0,519,250.0
Yelahanka,5,5,3050.0,1256,213.0
Kasavanhalli,3,3,1563.05,667,105.0
ISRO Layout,2,2,1000.0,551,60.0
Anandapura,2,2,1167.0,116,43.76
Vishveshwarya Layout,7,7,4000.0,1229,225.0
Kothanur,3,3,1828.0,713,110.0
Kengeri Satellite Town,2,2,890.0,687,35.0
Basavanapura,3,3,1612.0,220,46.74
Dinnur,6,5,1034.0,373,185.0
Mysore Road,3,4,1710.0,833,91.31
Kannamangala,2,2,957.0,662,58.0
 Devarachikkanahalli,3,2,1250.0,5,44.0
Sanjeevini Nagar,3,4,2795.0,1029,235.0
Hulimavu,2,2,1125.0,546,50.0
Electronic City Phase II,2,2,1020.0,416,30.6
Kalena Agrahara,2,2,1200.0,638,50.0
Thanisandra,3,3,1735.0,1143,135.0
Thanisandra,3,3,2050.0,1143,145.0
Mahalakshmi Layout,4,4,3750.0,772,760.0
Yarandahalli,3,2,1350.0,1253,48.0
Hosa Road,2,2,1063.0,533,32.0
Keshava Nagar,3,3,1904.0,692,150.0
Whitefield,4,4,4200.0,1247,420.0
RMV Extension,3,3,2000.0,950,175.0
Sarjapur,2,2,1242.5,1033,43.49
Tejaswini Nagar,3,2,1425.0,1141,75.0
Electronic City,3,2,1500.0,414,64.5
Electronic City,2,2,1060.0,414,60.0
Jai Bheema Nagar,3,2,1470.0,578,70.0
Kothnur Narayanapura,6,6,1300.0,715,99.0
Attibele,1,1,450.0,150,11.0
Electronic City,2,2,1152.0,414,64.5
Electronic City,3,2,1350.0,414,56.0
CV Raman Nagar,3,3,1550.0,290,65.0
CHIKKATIRUPATHI,3,3,1500.0,285,100.0
Kumaraswami Layout,5,3,600.0,724,85.0
Nagavara,1,1,400.0,849,14.0
Malleshwaram,1,1,705.0,783,67.0
Electronic City,2,1,770.0,414,36.0
Hulimavu,2,2,1242.0,546,51.0
Hebbal Kempapura,3,3,1700.0,511,155.0
Thanisandra,3,3,2144.0,1143,145.0
Vijayanagar,3,3,1704.0,1217,110.0
Electronic City,2,2,1070.0,414,52.0
8th block Koramangala,3,3,1846.0,73,300.0
Jakkuru Layout,2,2,1340.0,584,55.7
Electronic City,2,2,1025.0,414,46.0
KR Puram,2,2,1277.5,623,56.8
Marathahalli,2,2,1200.0,796,52.0
Kanakpura Road,4,4,2250.0,661,110.0
Pattandur Agrahara,3,2,1550.0,917,80.0
Bellandur,4,5,1200.0,234,325.0
Ejipura,7,7,1800.0,413,250.0
Marathahalli,2,2,1200.0,796,60.0
Yelahanka,2,2,1327.0,1256,98.0
Kothanur,2,2,1186.0,713,58.0
MS Pallya,3,3,1783.0,765,115.0
HSR Layout,3,3,1400.0,491,56.0
Nagasandra,2,2,980.0,847,48.0
EPIP Zone,2,2,1285.0,412,82.0
Langford Town,3,2,912.0,749,70.0
Whitefield,2,2,1225.0,1247,47.6
Whitefield,2,2,1075.0,1247,53.0
Kadugodi,3,2,1260.0,632,54.0
Yelahanka,3,2,1282.0,1256,48.7
Kogilu,3,3,1909.0,704,88.0
Panathur,2,2,1359.0,909,87.0
Nagondanahalli,2,2,1207.0,852,43.5
Padmanabhanagar,4,6,1736.0,902,190.0
1st Block Jayanagar,4,4,2850.0,27,428.0
Kammasandra,3,3,1595.0,651,65.0
"Off Sarjapur Road, ",3,3,1798.0,887,89.0
Electronics City Phase 1,3,3,1475.0,419,78.29
Tala Cauvery Layout,3,3,1580.0,1135,100.0
Dasarahalli,2,2,1295.0,357,65.0
Magadi Road,6,6,3600.0,769,141.0
Electronic City,1,1,589.0,414,27.0
Ngef Layout,3,3,1415.0,878,78.0
Sarjapur  Road,3,3,1787.0,1034,98.29
Sarjapur  Road,3,3,1787.0,1034,125.0
Koramangala,3,2,1475.0,710,90.0
"Lakshminarayanapura, Electronic City Phase 2",4,4,2000.0,743,75.5
Sarjapur  Road,2,2,984.0,1034,44.28
Devanahalli,3,2,1630.0,362,74.82
Muthurayya Swamy Layout,3,4,2405.0,830,260.0
7th Phase JP Nagar,2,2,1080.0,70,72.0
Shantiniketan Layout,2,2,1500.0,1060,115.0
Hebbal,3,3,1900.0,510,119.0
Dommasandra,2,2,805.0,401,22.14
Budigere,2,2,1153.0,276,56.4
Dodda Nekkundi Extension,2,2,1148.0,380,60.0
Mylasandra,2,2,1110.0,832,55.0
Electronic City,2,2,1100.0,414,42.0
Kalyan nagar,2,2,1290.0,643,110.0
Dr Shivarama Karantha Nagar,3,2,1500.0,405,65.0
Bank Of Baroda Colony,2,2,1080.0,212,39.0
Vijayanagar,3,3,1933.0,1217,129.0
Ramamurthy Nagar,5,5,3500.0,985,150.0
Kullappa Colony,2,2,1060.0,721,60.0
Chandapura,1,1,645.0,302,16.45
Mukkutam Nagar,8,8,2600.0,824,180.0
Chandapura,1,1,645.0,302,16.45
Ashwath Nagar,3,3,1644.0,145,84.0
Ncpr Industrial Layout,2,2,1285.0,867,72.5
Electronic City,3,3,1200.0,414,90.0
Electronic City,2,2,910.0,414,40.0
Kothanur,3,3,1577.0,713,70.0
Meenakunte,3,3,4050.0,816,280.0
OMBR Layout,3,3,2420.0,884,185.0
Chandapura,2,1,800.0,302,20.0
Anand Nagar,2,2,1060.0,114,55.0
7th Phase JP Nagar,2,2,1270.0,70,93.0
Shree Ananth Nagar Layout,2,2,900.0,1071,22.5
Kundalahalli Colony,2,2,1280.0,729,69.0
Horamavu Agara,4,2,1200.0,530,95.0
Sarjapur  Road,2,2,1025.0,1034,36.0
Electronic City,2,2,1108.0,414,63.0
MCECHS  layout,5,5,1200.0,760,170.0
Coffee Board Layout,3,3,3045.0,342,170.0
Ambedkar Nagar,4,3,2900.0,108,300.0
Vijayanagar,3,3,1500.0,1217,75.5
Raja Rajeshwari Nagar,2,2,1295.0,967,43.9
Budigere,2,2,1162.0,276,59.9
Sarjapur  Road,2,2,1035.0,1034,49.2
Attibele,4,4,1600.0,150,52.8
KUDLU MAIN ROAD,3,3,1464.0,625,46.0
Hennur Road,3,2,1866.0,519,61.58
Geleyara Balaga Layout,2,1,700.0,448,26.0
Kalena Agrahara,3,3,1804.0,638,120.0
Sarjapur,2,2,913.0,1033,32.0
Talaghattapura,3,3,1868.0,1136,131.0
Kengeri Satellite Town,2,2,883.0,687,45.0
Sundara Nagar,2,2,900.0,1116,110.0
Kogilu,3,2,1664.0,704,73.95
Hegde Nagar,3,3,2026.0,512,132.0
Balagere,2,2,1210.0,186,80.9
Meenakunte,4,4,4111.0,816,250.0
Kadugodi,3,3,1762.0,632,91.45
Jigani,3,3,1252.0,603,55.0
Gollarapalya Hosahalli,2,2,861.0,458,34.5
7th Phase JP Nagar,3,2,1420.0,70,100.0
Srirampura,6,6,1450.0,1100,250.0
Electronics City Phase 1,3,3,1490.0,419,78.8
Bisuvanahalli,3,2,1075.0,266,46.0
Old Madras Road,3,2,1425.0,891,94.0
Kalena Agrahara,2,2,1200.0,638,40.0
Kaggadasapura,3,2,1280.0,634,56.0
Silver Springs Layout,2,2,1084.0,1075,50.0
Chandapura,2,2,1015.0,302,25.88
Kanakpura Road,2,2,1017.0,661,51.25
Haralur Road,2,2,1027.0,503,44.0
Electronic City Phase II,2,2,1069.0,416,45.0
Hebbal,2,2,1349.0,510,98.2
9th Phase JP Nagar,2,2,1005.0,75,50.0
Jakkur,2,2,1417.0,581,75.0
TC Palaya,3,3,1475.0,1133,98.0
Maruthi Sevanagar,2,2,950.0,806,47.0
RMV 2nd Stage,4,4,2000.0,949,120.0
Giri Nagar,3,3,880.0,450,140.0
Sarjapur  Road,4,3,1863.0,1034,104.0
Singasandra,2,2,1010.0,1079,29.5
Kalena Agrahara,3,2,1425.0,638,70.0
Vijayanagar,3,3,1450.0,1217,100.0
Kothanur,3,3,1847.0,713,105.0
AECS Layout,2,2,1100.0,78,45.0
Kanakpura Road,1,1,525.0,661,26.0
Mallasandra,3,3,1665.0,780,95.0
Begur,4,4,1664.0,229,65.0
JP Nagar,3,3,1850.0,572,150.0
Panathur,2,2,1438.0,909,100.0
Sunder Ram Shetty Nagar,3,3,1560.0,1117,115.0
Yelahanka,2,2,1350.0,1256,55.55
Kanakpura Road,3,3,1550.0,661,67.0
Malleshpalya,2,2,1140.0,782,46.5
Srirampura,5,5,1200.0,1100,180.0
Kodathi,2,2,850.0,697,27.0
Whitefield,2,2,1280.0,1247,75.0
Munnekollal,2,2,1170.0,828,52.0
Motappa Layout,2,2,1113.0,822,51.0
Hennur Road,2,2,1385.0,519,83.09
Electronic City,2,2,1128.0,414,65.0
Marathahalli,2,2,1200.0,796,128.0
Akshaya Vana,4,4,1200.0,97,165.0
Rajaji Nagar,3,3,2390.0,971,415.0
Giri Nagar,4,4,2400.0,450,400.0
Haralur Road,3,3,1464.0,503,56.0
Manayata Tech Park,2,2,1200.0,785,55.0
Kaval Byrasandra,2,2,1200.0,675,52.0
Kaggalipura,3,2,1150.0,635,55.0
Basavanna Nagar,3,3,1645.0,222,95.0
Sarjapur  Road,2,2,1000.0,1034,67.0
Haralur Road,4,4,2650.0,503,198.0
6th Phase JP Nagar,2,2,1192.0,65,74.0
Ulsoor,3,3,2135.0,1171,215.0
Whitefield,2,2,1173.0,1247,58.0
Uttarahalli,2,2,1020.0,1174,45.0
Thigalarapalya,4,6,3122.0,1148,230.0
Somasundara Palya,3,3,1600.0,1084,64.0
T.C PALYA,2,2,1200.0,1131,79.0
Muneshwara Nagar,2,2,1230.0,826,48.0
 Devarachikkanahalli,2,2,1250.0,5,40.0
Kalena Agrahara,2,2,1325.0,638,76.0
7th Phase JP Nagar,3,3,1850.0,70,150.0
Kanakpura Road,1,2,525.0,661,21.53
Basaveshwara Nagar,2,2,1200.0,223,65.0
Bull Temple Road,3,2,1350.0,277,140.0
Bommasandra,3,3,1260.0,268,49.36
Prashanth Nagar,3,3,1800.0,934,150.0
Suragajakkanahalli,3,3,11.0,1121,74.0
Ardendale,2,2,1100.0,137,43.25
Harlur,2,2,1508.0,506,77.0
Sampigehalli,3,3,1592.0,1027,75.0
Akshaya Nagar,2,2,1388.0,96,57.0
Electronic City Phase II,1,1,630.0,416,28.35
RMV,3,3,2000.0,948,365.0
Banashankari3rd stage bigbazar,3,3,1762.0,205,125.0
Bagalur Main Road,2,2,950.0,184,50.0
Kodihalli,4,5,3252.0,702,335.0
Magadi Road,2,2,1116.0,769,50.0
Narayanapura,2,2,1308.0,864,89.04
MS Pallya,3,3,1200.0,765,90.0
Binny Mills Employees Colony,4,4,1500.0,264,230.0
Bannerghatta Road,1,1,500.0,214,18.5
Hennur,2,2,1075.0,515,52.0
Chandapura,1,1,530.0,302,11.66
Bellandur,2,2,1205.0,234,66.0
5th Phase JP Nagar,2,2,1075.0,60,60.0
KR Puram,2,2,930.0,623,39.0
Balagere,2,2,1380.0,186,60.0
Hebbal,4,5,2483.0,510,212.0
Kodigehaali,2,2,1166.0,700,55.0
Bannerghatta Road,2,2,1050.0,214,65.0
Gopalapura,3,3,2023.71,460,275.0
Begur Road,2,2,1200.0,230,46.8
Lakshminarayana Pura,3,2,1600.0,742,108.0
Billekahalli,3,3,1935.0,262,110.0
8th Phase JP Nagar,1,1,451.0,72,29.9
Electronic City,3,3,1800.0,414,95.0
Jalahalli,3,3,1400.0,586,77.0
Hegde Nagar,3,3,1801.0,512,115.0
Mahadevpura,2,2,1451.0,770,90.0
Anekal,2,1,1200.0,124,36.0
Begur Road,2,2,1160.0,230,44.0
Kengeri,2,2,1000.0,685,25.0
Kanakpura Road,2,2,950.0,661,40.0
"Hoodi Circle, ",3,3,1629.0,528,79.0
Vijayanagar,3,2,1580.0,1217,134.0
Vijayanagar,3,3,1826.0,1217,121.0
7th Phase JP Nagar,2,2,1245.0,70,94.0
Raja Rajeshwari Nagar,2,2,1145.0,967,45.79
Sompura,2,2,825.0,1086,33.0
Yeshwanthpur,3,3,1693.0,1262,108.0
Electronics City Phase 1,2,2,1113.27,419,53.0
Ashirvad Colony,2,2,1460.0,142,58.0
Doddathoguru,2,2,1050.0,393,32.0
Dodda Nekkundi,2,2,1260.0,379,55.0
K N Extension,6,3,700.0,614,120.0
Hosur Road,2,2,1656.0,541,120.0
Chandapura,3,3,1208.0,302,45.0
Whitefield,3,3,1910.0,1247,161.0
Whitefield,4,4,3252.0,1247,230.0
Battarahalli,2,2,1200.0,228,65.0
Gokula Extension,4,4,1200.0,455,175.0
7th Phase JP Nagar,2,2,1175.0,70,82.0
Kamakshipalya,2,2,1000.0,644,165.0
Bannerghatta Road,4,2,1200.0,214,125.0
Rajaji Nagar,3,3,2390.0,971,410.0
Rajaji Nagar,7,6,12000.0,971,2200.0
Sultan Palaya,2,1,550.0,1113,62.0
Sanne Amanikere,2,2,1185.0,1030,38.0
Kengeri,2,2,750.0,685,38.0
Mahalakshmi Layout,6,7,1200.0,772,250.0
Kanakpura Road,3,3,1550.0,661,64.5
Amco Colony,3,3,1760.0,110,88.0
Billekahalli,2,2,1125.0,262,62.0
Nagarbhavi,3,3,1350.0,844,150.0
Anandapura,2,2,1000.0,116,55.0
Bommasandra Industrial Area,2,2,1090.0,269,31.48
TC Palaya,2,2,1200.0,1133,60.0
Budigere,3,4,1991.0,276,103.0
Bommasandra,2,2,1060.0,268,26.5
Ambalipura,2,2,1105.0,106,75.0
Hoodi,2,2,985.0,527,67.0
Chandapura,6,5,1533.0,302,85.0
Balagere,3,3,1590.0,186,79.0
CV Raman Nagar,2,2,1120.0,290,55.0
Samethanahalli,2,2,1069.0,1023,55.0
Marathahalli,3,3,1933.0,796,140.0
Hosur Road,2,2,1194.0,541,69.0
Brookefield,2,2,1150.0,275,69.0
Yelenahalli,2,2,1240.0,1259,47.12
Raja Rajeshwari Nagar,2,2,1419.0,967,48.1
7th Phase JP Nagar,8,8,1200.0,70,250.0
Richmond Town,3,4,2150.0,1001,240.0
Suddaguntepalya,3,3,1450.0,1111,55.0
Udayapur Village,3,3,1630.0,1168,68.29
Dasanapura,2,1,708.0,355,40.0
Kasavanhalli,3,4,1000.0,667,110.0
Whitefield,4,4,11890.0,1247,700.0
Bellandur,2,2,1250.0,234,76.0
7th Phase JP Nagar,3,2,1400.0,70,95.0
Sarjapur  Road,3,2,1670.0,1034,57.0
Ardendale,3,3,1750.0,137,100.0
Vittasandra,2,2,1404.0,1237,71.0
Hoodi,3,2,1715.0,527,95.0
Electronic City,1,1,630.0,414,34.65
Harlur,3,3,1752.12,506,135.0
Hulimavu,3,3,1650.0,546,78.0
Raja Rajeshwari Nagar,2,2,1295.0,967,55.47
Giri Nagar,3,3,1800.0,450,252.0
Sarjapur  Road,2,2,1346.0,1034,74.03
Thippasandra,4,4,1200.0,1149,200.0
Hormavu,2,2,1150.0,532,55.0
Chikkabidarakallu,4,4,3309.0,318,325.0
Chandapura,3,2,1190.0,302,30.35
AECS Layout,3,3,1620.0,78,98.0
Marathahalli,2,2,950.0,796,46.96
1 Giri Nagar,11,9,5000.0,15,360.0
Harlur,3,3,2450.0,506,120.0
Electronic City Phase II,3,2,1220.0,416,35.23
Hoysalanagar,2,2,850.0,544,30.0
Padmanabhanagar,2,2,1020.0,902,63.0
Chikkalasandra,2,2,1100.0,323,50.0
Defence Colony,2,2,1150.0,359,126.0
Hebbal,3,2,1760.0,510,130.0
Ambalipura,3,3,1800.0,106,110.0
Akshaya Nagar,2,2,1070.0,96,54.0
2nd Stage Nagarbhavi,4,4,1500.0,42,220.0
Vidyaranyapura,2,2,1440.0,1211,95.0
Amruthahalli,2,2,900.0,112,40.0
ITI Employees Layout,4,4,1200.0,552,230.0
Whitefield,2,2,1130.0,1247,42.16
Koramangala,2,2,1320.0,710,165.0
Kodigehalli,2,2,1270.0,701,98.0
Patelappa Layout,2,2,1200.0,915,62.0
Ring Road Nagarbhavi,4,4,4800.0,1002,235.0
NS Palya,2,2,1200.0,838,74.0
Subramanyapura,2,2,929.0,1110,50.17
RMV 2nd Stage,4,4,1150.0,949,260.0
Basavangudi,4,4,1125.0,221,180.0
Kenchenahalli,5,3,500.0,683,65.0
3rd Block Hrbr Layout,5,5,1200.0,46,190.0
KUDLU MAIN ROAD,3,3,1464.0,625,56.0
7th Phase JP Nagar,4,4,3600.0,70,400.0
Bank Avenue,4,4,2000.0,211,99.0
Chikkalasandra,2,2,1208.0,323,49.0
Hebbal Kempapura,2,2,1130.0,511,60.0
Surabhi Layout,3,3,1753.0,1120,120.0
Old Madras Road,5,7,4500.0,891,337.0
Banjara Layout,3,3,600.0,210,58.0
Hoodi,2,2,1196.0,527,94.42
5th Phase JP Nagar,2,3,1150.0,60,52.5
Electronic City,2,2,1128.0,414,63.0
Omkar Nagar,2,2,1000.0,895,53.0
Yelahanka,2,2,1035.0,1256,45.0
Kereguddadahalli,2,2,950.0,691,32.0
Bisuvanahalli,3,2,1075.0,266,36.0
Whitefield,2,2,1040.0,1247,48.5
Maragondanahalli,2,2,720.0,794,45.0
Lingadheeranahalli,3,3,1511.0,754,95.0
Silk Board,3,3,1300.0,1074,58.0
Hoodi,3,3,1545.0,527,68.75
Shampura,1,2,375.0,1054,26.0
Vidyaranyapura,2,2,1062.0,1211,38.0
Kada Agrahara,2,2,1115.0,628,40.0
JP Nagar,2,2,1000.0,572,35.0
Kambipura,2,2,883.0,647,45.0
Sarjapur  Road,2,2,1195.0,1034,70.0
BHEL Layout,4,3,1200.0,170,165.0
Medahalli,1,1,700.0,812,41.0
Vittasandra,2,2,1246.0,1237,67.0
8th Phase JP Nagar,4,4,660.0,72,90.0
Banashankari Stage III,4,4,8500.0,201,145.0
Kashi Nagar,4,4,1600.0,668,80.0
Haralur Road,4,5,2805.0,503,154.0
Begur Road,3,3,1584.0,230,65.0
Sector 7 HSR Layout,4,5,3000.0,1048,275.0
Hosur Road,3,2,1175.0,541,48.0
"Yemlur, Old Airport Road, ",3,3,1595.0,1261,115.0
VHBCS Layout,2,2,1353.0,1178,110.0
Electronic City,3,3,1599.0,414,125.0
Whitefield,2,2,1150.0,1247,70.0
Jakkur,4,6,5230.0,581,465.0
KR Puram,2,2,1155.0,623,42.74
Ittamadu,1,2,1200.0,567,85.0
Electronic City Phase II,2,2,1000.0,416,25.0
Thanisandra,4,4,3000.0,1143,120.0
Rajiv Nagar,3,3,1867.0,981,160.0
Ramagondanahalli,2,2,1251.0,982,47.0
Gattahalli,2,2,1028.0,441,45.5
Arekere,2,2,1222.0,140,45.0
Bannerghatta Road,3,2,1170.0,214,66.0
Hebbal,3,4,2400.0,510,245.0
Ramanjaneyanagar,3,2,1385.0,989,48.48
HSR Layout,2,2,1372.0,491,68.0
Magadi Road,3,2,1282.0,769,49.0
Mico Layout,9,9,5000.0,818,210.0
7th Block Jayanagar,5,3,3000.0,68,528.0
Kanakpura Road,2,2,1135.0,661,39.73
Whitefield,3,3,1768.0,1247,101.0
Byatarayanapura,3,2,1325.0,281,90.0
Electronic City,3,3,1599.0,414,99.0
Whitefield,3,3,1500.0,1247,61.95
2nd Phase JP Nagar,3,3,2610.0,39,499.0
Uttarahalli,2,2,1286.0,1174,63.0
Kammanahalli,5,5,2845.0,650,140.0
K G Colony,3,2,1600.0,613,50.0
Hennur Road,2,2,1317.5,519,63.77
Hebbal,3,5,3450.0,510,260.0
Munnekollal,2,2,1102.0,828,53.67
Yelahanka,2,2,1350.0,1256,54.0
Banashankari,3,2,1200.0,192,42.0
Hosa Road,6,6,1300.0,533,145.0
Herohalli,2,1,1800.0,520,80.0
Chikkabanavar,2,2,950.0,316,40.0
Kanakpura Road,1,1,525.0,661,27.25
Attibele,2,2,656.0,150,25.0
Marathahalli,4,4,1780.0,796,175.0
3rd Block Hrbr Layout,2,2,1056.0,46,80.0
Bannerghatta Road,1,1,595.0,214,33.32
Ittamadu,2,2,1080.0,567,50.0
7th Phase JP Nagar,3,3,2225.0,70,160.0
Bommasandra,2,2,1126.0,268,28.15
Electronics City Phase 1,3,3,1490.0,419,84.0
HRBR Layout,4,4,2000.0,490,300.0
Sarjapur  Road,3,3,1550.0,1034,100.0
Sarjapur  Road,3,3,1600.0,1034,86.0
Ashwini layout,2,2,1160.0,147,55.0
Whitefield,4,4,4144.0,1247,315.0
Sarjapur  Road,3,3,2100.0,1034,125.0
Vittasandra,2,2,1404.0,1237,69.3
Sarjapur  Road,4,4,2230.0,1034,225.0
Marathalli bridge,3,3,1544.0,797,120.0
Banashankari Stage III,3,2,1305.0,201,58.7
Marathahalli,2,2,1230.0,796,80.0
T.C PALYA,2,2,1200.0,1131,65.0
Harlur,3,3,1460.0,506,73.0
Sarjapur  Road,2,2,1800.0,1034,34.185
Gottigere,2,2,967.0,463,45.0
Byatarayanapura,1,1,540.0,281,36.0
Hormavu,1,1,715.0,532,46.0
Whitefield,3,3,2500.0,1247,313.0
Dooravani Nagar,3,3,1578.0,403,180.0
Mysore Road,2,2,1020.0,833,48.95
Jigani,2,2,1020.0,603,40.0
Koramangala,2,2,1253.0,710,102.0
JCR Layout,2,2,1180.0,571,42.0
Nehru Nagar,2,2,961.0,874,38.0
Kanakapura,3,3,1419.0,655,75.0
Harlur,3,3,1709.0,506,150.0
Papareddipalya,2,2,1600.0,912,115.0
Venkatapura,1,1,416.0,1200,18.5
